,year,artist,song,points,duration
89,2013,Chrisette Michele,A Couple Of Forevers,3975,237.573
90,2013,Justin Timberlake,TKO,4008,424.146
91,2013,The Weeknd,Wicked Games,4022,325.305
92,2013,Tamela Mann,Take Me To The King,4039,287.573
93,2013,Alicia Keys,Brand New Me,4045,233.56
94,2013,Jonn Hart Featuring IamSU!,Who Booty,4049,189.613
95,2013,Miguel,Do You...,4050,125.826
96,2013,T-Pain Featuring B.o.B,Up Down (Do This All Day),4056,231.093
97,2013,Jeremih Featuring Lil Wayne & Natasha Mosley,All The Time,4063,199.5
98,2013,Kelly Rowland,Dirty Laundry,4091,336.8
99,2013,Maejor Ali Featuring Juicy J & Justin Bieber,Lolly,4096,225.506
100,2013,Frank Ocean,Thinkin Bout You,4112,200.746
101,2013,Charlie Wilson,My Love Is All I Have,4155,215.373
102,2013,Kat Dahlia,Gangsta,4179,240.693
103,2013,Omarion & Wale,M.I.A.,4190,205.2
104,2013,Tamar Braxton,All The Way Home,4240,262.226
105,2013,Drake,Own It,4250,251.973
106,2013,Trey Songz,Fumble,4281,189.636
107,2013,Chris Brown,Don't Judge Me,4321,240.173
108,2013,B. Smyth Featuring 2 Chainz,Leggo,4328,223.173
109,2013,Justin Timberlake,Pusher Love Girl,4331,482.36
110,2013,Toni Braxton & Babyface,Hurt You,4347,230.026
111,2013,Sevyn Streeter,I Like It,4385,253.39
112,2013,Trey Songz,Simply Amazing,4405,239.866
113,2013,Faith Evans,Tears Of Joy,4454,203.064
114,2013,Emeli Sande,My Kind Of Love,4490,202.693
115,2013,Frank Ocean,Pyramids,4551,592.92
116,2013,Ray J Featuring Bobby Brackins,I Hit It First,4561,205.714
117,2013,Drake,Connect,4582,148.459
118,2013,Sebastian Mikael Featuring Wale,Last Night,4599,163.854
119,2013,Rihanna Featuring A$AP Rocky,Cockiness (Love It),4609,178.026
120,2013,Rihanna Featuring Chris Brown,Nobodys Business,4619,216.293
121,2013,Ty Dolla $ign Featuring B.o.B,Paranoid,4653,168.405
122,2013,Joe,I'd Rather Have A Love,4703,225.413
123,2013,Robin Thicke,For The Rest Of My Life,4715,231.986
124,2013,Justin Bieber Featuring Drake,Right Here,4738,235.0
125,2013,Tyga & Justin Bieber,Wait For A Minute,4773,207.013
126,2013,Janelle Monae Featuring Miguel,PrimeTime,4790,213.6
127,2013,John Legend Featuring Rick Ross,Who Do We Think We Are,4792,292.64
128,2013,Mack Wilds,Own It,4828,251.973
129,2013,Rico Love,They Don't Know,4834,274.666
130,2013,Ciara,Sorry,4840,206.049
131,2013,The Weeknd Featuring Drake,Live For,4842,160.64
132,2013,Eric Benet,News For You,4861,321.746
133,2013,Drake,Doing It Wrong,4867,265.12
134,2013,Justin Timberlake,Tunnel Vision,4912,268.186
135,2013,Frank Ocean Featuring Earl Sweatshirt,Super Rich Kids,4942,304.76
136,2013,Justin Timberlake,Don't Hold The Wall,4987,430.626
137,2013,Justin Timberlake,That Girl,4991,127.262
138,2013,Justin Timberlake,Strawberry Bubblegum,4991,479.746
139,2013,Jason Derulo Featuring 2 Chainz,Talk Dirty,4995,177.685
140,2013,Anita Baker,Lately,4998,77.866
141,2013,Tamar Braxton,Hot Sugar,5009,234.865
142,2013,SoMo,Ride,5009,214.506
143,2013,Mindless Behavior,Keep Her On The Low,5012,188.133
144,2013,R. Kelly,When A Man Lies,5016,216.36
145,2013,T.Rone,Hello Love (F.U.),5021,223.0
146,2013,Justin Bieber,Recovery,5073,158.267
147,2013,Michael Jackson,Thriller,5075,357.266
148,2013,Candice Glover,I Am Beautiful,5078,177.053
149,2013,Justin Timberlake,Let The Groove Get In,5081,431.613
150,2013,Justin Timberlake,Drink You Away,5082,331.133
151,2013,Justin Bieber,Bad Day,5082,233.64
152,2013,Justin Timberlake,Blue Ocean Floor,5086,439.466
153,2013,Justin Timberlake,Spaceship Coupe,5089,437.013
154,2014,Pharrell Williams,Happy,1118,242.691
155,2014,John Legend,All Of Me,1616,269.56
156,2014,Chris Brown Feat. Lil Wayne & Tyga,Loyal,2153,227.36
157,2014,Jason Derulo Featuring 2 Chainz,Talk Dirty,2257,177.685
158,2014,Tinashe Featuring ScHoolboy Q,2 On,2470,227.0
159,2014,Jeremih Featuring YG,Don't Tell 'Em,2645,266.84
160,2014,Jason Derulo Featuring Snoop Dogg,Wiggle,2755,193.295
161,2014,Beyonce,Partition,2825,319.466
162,2014,Trey Songz,Na Na,2830,100.122
163,2014,Beyonce Featuring Jay Z,Drunk In Love,2869,323.48
164,2014,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,Or Nah,2930,242.983
165,2014,Chris Brown Featuring Usher & Rick Ross,New Flame,2974,244.226
166,2014,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,***Flawless,2974,176.124
167,2014,Jhene Aiko,The Worst,3021,254.493
168,2014,Trey Songz Featuring Nicki Minaj,"Touchin, Lovin",3090,221.971
169,2014,T-Pain Featuring B.o.B,Up Down (Do This All Day),3117,231.093
170,2014,Pharrell Williams,Come Get It Bae,3160,201.933
171,2014,SoMo,Ride,3172,214.506
172,2014,Ty Dolla $ign Featuring B.o.B,Paranoid,3238,168.405
173,2014,Aloe Blacc,The Man,3378,190.36
174,2014,Michael Jackson & Justin Timberlake,Love Never Felt So Good,3381,246.026
175,2014,Beyonce,XO,3435,182.706
176,2014,John Legend,You & I (Nobody In The World),3445,252.653
177,2014,Justin Bieber Featuring Chance The Rapper,Confident,3449,205.745
178,2014,Usher,Good Kisser,3460,218.493
179,2014,Adrian Marcel Featuring Sage The Gemini,2AM.,3473,242.823
180,2014,Trey Songz,Foreign,3485,142.893
181,2014,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",Hold You Down,3559,238.706
182,2014,The Weeknd,Often,3579,249.04
183,2014,Bando Jonez,Sex You,3635,212.946
184,2014,Beyonce,Pretty Hurts,3645,257.653
185,2014,Wiz Khalifa,Promises,3693,646.239
186,2014,K. Michelle,Can't Raise A Man,3739,208.04
187,2014,Usher Featuring Nicki Minaj,She Came To Give It To You,3763,242.56
188,2014,Rico Love,They Don't Know,3802,274.666
189,2014,PARTYNEXTDOOR Featuring Drake,Recognize,3804,311.197
190,2014,August Alsina,No Love,3882,231.497
191,2014,I LOVE MAKONNEN Featuring Drake,Tuesday,3916,450.226
192,2014,August Alsina Featuring B.o.B & Yo Gotti,Numb,3958,185.586
193,2014,Trey Songz,SmartPhones,4002,232.56
194,2014,Tamar Braxton,All The Way Home,4124,262.226
195,2014,Sevyn Streeter Featuring Chris Brown,It Won't Stop,4134,281.08
196,2014,Chris Brown Featuring Jhene Aiko,Drunk Texting,4191,227.4
197,2014,Tinashe Featuring A$AP Rocky,Pretend,4233,122.932
198,2014,Teyana Taylor Featuring Pusha T & Yo Gotti,Maybe,4233,170.133
199,2014,Drake Featuring Majid Jordan,"Hold On, We're Going Home",4280,227.88
