,year,artist,song,points
131,1987,Los Bukis,Me Volvi A Acordar De Ti,3572
132,1987,Rocio Durcal,Quedate conmigo esta noche,3590
133,1987,Flans,Timido,3612
134,1987,Lunna,Si vivir contigo,3637
135,1987,Tommy Olivencia,Lobo Domesticado,3648
136,1987,Dyango,Golpes bajos,3651
137,1987,Estela Nunez,Corazon Errante,3697
138,1987,Marisela,Porque Tengo Ganas,3732
139,1987,Franky Ruiz,Desnudate mujer,3769
140,1987,Los Caminantes,Todo Me Gusta De Ti,3769
141,1987,La Sonora Dinamita,Capullo y Sorullo,3787
142,1987,Jose Jose,y quien puede ser,3792
143,1987,Yolandita Monge,Ahora Ahora,3794
144,1987,Julio Iglesias,Todo El Amor Que Te Hace Falta,3808
145,1987,Vicente Fernandez,Hoy platique con mi gallo,3840
146,1987,Sonia Rivas,De Pecho A Pecho,3860
147,1987,Chayanne,Fiesta En America,3879
148,1987,Laura Flores,Ya No Volvare,3908
149,1987,Franco,Soy,3925
150,1987,Tropicalisimo Apache,La hierva se movia,3937
151,1987,Pandora,Mi Hombre,3940
152,1987,Eddie Santiago,Nadie mejor que tu,3963
153,1987,Franky Ruiz,Quiero llenarte,3976
154,1987,Dyango,A Falta De Ti,3988
155,1987,Juan Gabriel,Que lastima,3999
156,1987,Valeria Lynch,Muneca Rota,4028
157,1987,Beatriz Adriana,La luna sera la luna,4047
158,1987,Basilio,Vivir lo nuestro,4079
159,1987,Los Bukis,Este adios,4082
160,1987,Roberto del Castillo,Hasta Que Te Conoci,4111
161,1987,Al Bano Y Romina Power,Siempre Siempre,4112
162,1987,Marisela,HAZME TUYA,4112
163,1987,Tatiana,Baila conmigo,4129
164,1987,Yuri,Es ella mas que yo,4135
165,1987,Rocio Durcal,Siempre,4141
166,1987,La Patrulla,Acariciame,4147
167,1987,Marisela,Arrepentida,4156
168,1987,Fandango USA,"AUTOS, MODA Y ROCK AND ROLL",4156
169,1987,Wilkins,Margarita,4170
170,1987,Bonny Cepeda,La Fotografia,4172
171,1987,Danny Rivera,Amar o morir,4172
172,1987,Joan Sebastian & Prisma,Oiga,4187
173,1987,Carla,No me toques,4200
174,1987,Valeria Lynch,Fuera de mi vida,4215
175,1987,Jose Jose,Sin Saber,4228
176,1987,Los Hijos del Rey,La quiero a morir,4234
177,1987,Pimpinela,Me hace falta una flor,4238
178,1987,Lunna,No Digas Nada,4313
179,1987,Prisma,De color de rosa,4314
180,1987,Beatriz Adriana,Hasta cuando,4315
181,1987,Braulio,Juguete de nadie,4320
182,1987,Lucia Mendez,Yo no se quererte mas,4340
183,1987,Yolandita Monge,Contigo,4343
184,1987,Lucerito,Era la primera vez,4374
185,1987,Paloma San Basilio,luna de miel,4379
186,1987,Lissette y Manoella Torres,Hoy vine con ella,4393
187,1987,Jose Luis Perales,Amada Mia,4412
188,1987,Roberto Carlos,Negra,4423
189,1987,Rocio Jurado,Quien Te Crees Tu,4424
190,1987,Pandora,Solo el y yo,4426
191,1987,Tommy Olivencia,NO TIRES LA PRIMERA PIEDRA,4427
192,1987,Amanda Miguel,Que Me Das,4437
193,1987,Elio Roca,UNA ROSA Y UNA ESPINA,4438
194,1987,Franco,Muriendo Aqui,4457
195,1987,Angelica Maria,Prohibido,4458
196,1987,Jose Feliciano,PONTE A CANTAR,4462
197,1987,Beatriz Adriana y Marco Antonio Solis,Entre tu y yo,4473
198,1987,La Patrulla 15,"Te Quiero, Te Quiero",4477
199,1987,Jose Luis Rodriguez,Y TU TAMBIEN LLORARAS,4480
200,1988,Gloria Estefan & Miami Sound Machine,Todo Por Ti,71
201,1988,Ana Gabriel,AY AMOR,2138
202,1988,Juan Gabriel,DEBO HACERLO,2214
203,1988,Yuri,QUE TE PASA,2238
204,1988,Lucia Mendez,Es un alma en pena,2463
