,year,artist,song,points,duration
702,1965,The Rolling Stones,(I Can't Get No) Satisfaction,4039,222.813
703,1965,We Five,You Were On My Mind,4059,155.96
704,1965,Ramsey Lewis Trio,"The ""In"" Crowd",4085,351.426
705,1965,The Beatles,Help!,4116,214.797
706,1965,Herman's Hermits,Can't You Hear My Heartbeat,4123,134.84
707,1965,Herb Alpert & The Tijuana Brass,Taste Of Honey,4136,163.746
708,1965,The Righteous Brothers,You've Lost That Lovin' Feelin',4137,225.426
709,1965,Elvis Presley With The Jordanaires,Crying In The Chapel,4144,143.266
710,1965,The Temptations,My Girl,4148,165.0
711,1965,Petula Clark,Downtown,4150,193.456
712,1965,Len Barry,1-2-3,4154,198.36
713,1965,Roger Miller,King Of The Road,4158,147.306
714,1965,The Beach Boys,"Help Me, Rhonda",4159,168.24
715,1965,The McCoys,Hang On Sloopy,4167,231.8
716,1965,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",Let's Hang On!,4181,198.333
717,1965,Jewel Akens,The Birds And The Bees,4182,126.906
718,1965,Mel Carter,"Hold Me, Thrill Me, Kiss Me",4185,149.533
719,1965,Jr. Walker & The All Stars,Shotgun,4190,201.287
720,1965,The Toys,A Lover's Concerto,4190,158.0
721,1965,Sonny & Cher,I Got You Babe,4195,190.08
722,1965,Gary Lewis And The Playboys,This Diamond Ring,4202,132.4
723,1965,Herman's Hermits,Mrs. Brown You've Got A Lovely Daughter,4218,167.48
724,1965,The Rolling Stones,Get Off Of My Cloud,4219,175.08
725,1965,The Supremes,Stop! In The Name Of Love,4230,172.906
726,1965,The Righteous Brothers,Unchained Melody,4232,218.013
727,1965,Jay & The Americans,"Cara, Mia",4240,153.626
728,1965,Herman's Hermits,Silhouettes,4240,177.773
729,1965,The Seekers,I'll Never Find Another You,4247,162.32
730,1965,The Byrds,Mr. Tambourine Man,4254,149.466
731,1965,The Gentrys,Keep On Dancing,4257,185.52
732,1965,Sounds Orchestral,Cast Your Fate To The Wind,4269,382.986
733,1965,Fontella Bass,Rescue Me,4274,172.28
734,1965,Barbara Mason,"Yes, I'm Ready",4285,184.333
735,1965,The Beatles,Yesterday,4291,125.666
736,1965,Tom Jones,What's New Pussycat?,4298,128.8
737,1965,Barry McGuire,Eve Of Destruction,4306,215.826
738,1965,Jackie DeShannon,What The World Needs Now Is Love,4314,186.4
739,1965,The Beatles,Ticket To Ride,4319,189.68
740,1965,Bert Kaempfert And His Orchestra,Red Roses For A Blue Lady,4326,139.653
741,1965,Wayne Fontana & The Mindbenders,Game Of Love,4336,254.466
742,1965,Petula Clark,I Know A Place,4338,272.813
743,1965,The Byrds,Turn! Turn! Turn! (To Everything There Is A Season),4342,229.36
744,1965,The Supremes,Back In My Arms Again,4343,174.306
745,1965,James Brown And The Famous Flames,Papa's Got A Brand New Bag (Part I),4344,200.88
746,1965,Barbara Lewis,"Baby, I'm Yours",4350,152.613
747,1965,The Supremes,I Hear A Symphony,4359,185.176
748,1965,Marvin Gaye,Ain't That Peculiar,4362,179.693
749,1965,Patti Page,"Hush, Hush, Sweet Charlotte",4362,152.36
750,1965,The Kingsmen,The Jolly Green Giant,4363,240.24
751,1965,Bob Dylan,Like A Rolling Stone,4364,369.6
752,1965,The Vogues,You're The One,4373,227.706
753,1965,Freddie And The Dreamers,I'm Telling You Now,4374,128.906
754,1965,Johnny Rivers,Seventh Son,4375,594.08
